,H,B,q,R_int,gamma,Su,sf_lower,sf_upper
578,6,14,0,1.0,16,50,2.939,3.050
579,6,14,0,1.0,16,25,1.470,1.525
580,6,14,0,1.0,14,100,6.725,6.967
581,6,14,0,1.0,14,75,5.041,5.230
582,6,14,0,1.0,14,50,3.364,3.484
583,6,14,0,1.0,14,25,1.681,1.742
584,6,14,0,0.8,18,100,5.224,5.419
585,6,14,0,0.8,18,75,3.921,4.073
586,6,14,0,0.8,18,50,2.612,2.710
587,6,14,0,0.8,18,25,1.306,1.355
588,6,14,0,0.8,16,100,5.878,6.100
589,6,14,0,0.8,16,75,4.398,4.568
590,6,14,0,0.8,16,50,2.939,3.050
591,6,14,0,0.8,16,25,1.470,1.525
592,6,14,0,0.8,14,100,6.734,6.967
593,6,14,0,0.8,14,75,5.041,5.230
594,6,14,0,0.8,14,50,3.358,3.484
595,6,14,0,0.8,14,25,1.679,1.742
596,6,14,0,0.6,18,100,5.216,5.419
597,6,14,0,0.6,18,75,3.927,4.073
598,6,14,0,0.6,18,50,2.608,2.710
599,6,14,0,0.6,18,25,1.304,1.355
600,6,14,0,0.6,16,100,5.878,6.100
601,6,14,0,0.6,16,75,4.413,4.568
602,6,14,0,0.6,16,50,2.939,3.050
603,6,14,0,0.6,16,25,1.470,1.525
604,6,14,0,0.6,14,100,6.727,6.967
605,6,14,0,0.6,14,75,5.041,5.230
606,6,14,0,0.6,14,50,3.362,3.484
607,6,14,0,0.6,14,25,1.682,1.742
608,6,12,20,1.0,18,100,4.458,4.633
609,6,12,20,1.0,18,75,3.349,3.476
610,6,12,20,1.0,18,50,2.229,2.317
611,6,12,20,1.0,18,25,1.114,1.158
612,6,12,20,1.0,16,100,4.931,5.122
613,6,12,20,1.0,16,75,3.691,3.835
614,6,12,20,1.0,16,50,2.467,2.561
615,6,12,20,1.0,16,25,1.225,1.281
616,6,12,20,1.0,14,100,5.497,5.691
617,6,12,20,1.0,14,75,4.100,4.276
618,6,12,20,1.0,14,50,2.748,2.846
619,6,12,20,1.0,14,25,1.374,1.423
620,6,12,20,0.8,18,100,4.458,4.633
621,6,12,20,0.8,18,75,3.352,3.476
622,6,12,20,0.8,18,50,2.229,2.317
623,6,12,20,0.8,18,25,1.114,1.158
624,6,12,20,0.8,16,100,4.939,5.122
625,6,12,20,0.8,16,75,3.691,3.835
626,6,12,20,0.8,16,50,2.467,2.561
627,6,12,20,0.8,16,25,1.233,1.281
628,6,12,20,0.8,14,100,5.497,5.696
629,6,12,20,0.8,14,75,4.076,4.276
630,6,12,20,0.8,14,50,2.748,2.848
631,6,12,20,0.8,14,25,1.374,1.424
632,6,12,20,0.6,18,100,4.465,4.633
633,6,12,20,0.6,18,75,3.349,3.476
634,6,12,20,0.6,18,50,2.233,2.317
635,6,12,20,0.6,18,25,1.116,1.158
636,6,12,20,0.6,16,100,4.904,5.122
637,6,12,20,0.6,16,75,3.682,3.835
638,6,12,20,0.6,16,50,2.452,2.561
639,6,12,20,0.6,16,25,1.226,1.281
640,6,12,20,0.6,14,100,5.444,5.696
641,6,12,20,0.6,14,75,4.121,4.276
642,6,12,20,0.6,14,50,2.722,2.848
643,6,12,20,0.6,14,25,1.361,1.424
644,6,12,10,1.0,18,100,4.844,5.019
645,6,12,10,1.0,18,75,3.614,3.769
646,6,12,10,1.0,18,50,2.422,2.509
647,6,12,10,1.0,18,25,1.211,1.255
648,6,12,10,1.0,16,100,5.384,5.607
649,6,12,10,1.0,16,75,4.024,4.199
650,6,12,10,1.0,16,50,2.692,2.803
651,6,12,10,1.0,16,25,1.346,1.402
652,6,12,10,1.0,14,100,6.062,6.307
653,6,12,10,1.0,14,75,4.539,4.733
654,6,12,10,1.0,14,50,3.031,3.153
655,6,12,10,1.0,14,25,1.516,1.577
656,6,12,10,0.8,18,100,4.798,5.023
657,6,12,10,0.8,18,75,3.639,3.769
658,6,12,10,0.8,18,50,2.399,2.511
659,6,12,10,0.8,18,25,1.199,1.256
660,6,12,10,0.8,16,100,5.384,5.607
661,6,12,10,0.8,16,75,4.024,4.199
662,6,12,10,0.8,16,50,2.692,2.803
663,6,12,10,0.8,16,25,1.346,1.402
664,6,12,10,0.8,14,100,6.057,6.307
665,6,12,10,0.8,14,75,4.539,4.733
666,6,12,10,0.8,14,50,3.029,3.153
667,6,12,10,0.8,14,25,1.514,1.577
668,6,12,10,0.6,18,100,4.798,5.019
669,6,12,10,0.6,18,75,3.618,3.769
670,6,12,10,0.6,18,50,2.399,2.509
671,6,12,10,0.6,18,25,1.199,1.255
672,6,12,10,0.6,16,100,5.384,5.607
673,6,12,10,0.6,16,75,4.024,4.199
674,6,12,10,0.6,16,50,2.692,2.803
675,6,12,10,0.6,16,25,1.346,1.402
676,6,12,10,0.6,14,100,6.077,6.307
677,6,12,10,0.6,14,75,4.533,4.733
678,6,12,10,0.6,14,50,3.038,3.153
679,6,12,10,0.6,14,25,1.519,1.577
680,6,12,0,1.0,18,100,5.291,5.492
681,6,12,0,1.0,18,75,3.952,4.119
682,6,12,0,1.0,18,50,2.646,2.746
683,6,12,0,1.0,18,25,1.323,1.373
684,6,12,0,1.0,16,100,5.929,6.184
685,6,12,0,1.0,16,75,4.458,4.633
686,6,12,0,1.0,16,50,2.964,3.092
687,6,12,0,1.0,16,25,1.482,1.546
688,6,12,0,1.0,14,100,6.804,7.057
689,6,12,0,1.0,14,75,5.093,5.293
690,6,12,0,1.0,14,50,3.402,3.529
691,6,12,0,1.0,14,25,1.701,1.764
692,6,12,0,0.8,18,100,5.291,5.492
693,6,12,0,0.8,18,75,3.978,4.119
694,6,12,0,0.8,18,50,2.646,2.746
695,6,12,0,0.8,18,25,1.323,1.373
696,6,12,0,0.8,16,100,5.967,6.184
697,6,12,0,0.8,16,75,4.422,4.633
698,6,12,0,0.8,16,50,2.984,3.092
699,6,12,0,0.8,16,25,1.492,1.546
700,6,12,0,0.8,14,100,6.804,7.076
701,6,12,0,0.8,14,75,5.102,5.307
702,6,12,0,0.8,14,50,3.402,3.538
703,6,12,0,0.8,14,25,1.701,1.769
704,6,12,0,0.6,18,100,5.291,5.492
705,6,12,0,0.6,18,75,3.959,4.119
706,6,12,0,0.6,18,50,2.646,2.746
707,6,12,0,0.6,18,25,1.323,1.373
708,6,12,0,0.6,16,100,5.938,6.184
709,6,12,0,0.6,16,75,4.465,4.633
710,6,12,0,0.6,16,50,2.969,3.092
711,6,12,0,0.6,16,25,1.485,1.546
712,6,12,0,0.6,14,100,6.761,7.057
713,6,12,0,0.6,14,75,5.102,5.293
714,6,12,0,0.6,14,50,3.380,3.529
715,6,12,0,0.6,14,25,1.690,1.764
716,6,10,20,1.0,18,100,4.498,4.703
717,6,10,20,1.0,18,75,3.403,3.533
718,6,10,20,1.0,18,50,2.265,2.351
719,6,10,20,1.0,18,25,1.133,1.176
720,6,10,20,1.0,16,100,4.987,5.190
721,6,10,20,1.0,16,75,3.751,3.900
722,6,10,20,1.0,16,50,2.493,2.595
723,6,10,20,1.0,16,25,1.247,1.297
724,6,10,20,1.0,14,100,5.538,5.791
725,6,10,20,1.0,14,75,4.166,4.338
726,6,10,20,1.0,14,50,2.769,2.896
727,6,10,20,1.0,14,25,1.384,1.448
728,6,10,20,0.8,18,100,4.534,4.703
729,6,10,20,0.8,18,75,3.392,3.533
730,6,10,20,0.8,18,50,2.265,2.351
731,6,10,20,0.8,18,25,1.125,1.176
732,6,10,20,0.8,16,100,4.987,5.190
733,6,10,20,0.8,16,75,3.721,3.900
734,6,10,20,0.8,16,50,2.493,2.595
735,6,10,20,0.8,16,25,1.247,1.297
736,6,10,20,0.8,14,100,5.538,5.791
737,6,10,20,0.8,14,75,4.176,4.341
738,6,10,20,0.8,14,50,2.769,2.896
739,6,10,20,0.8,14,25,1.384,1.448
740,6,10,20,0.6,18,100,4.529,4.703
741,6,10,20,0.6,18,75,3.392,3.533
742,6,10,20,0.6,18,50,2.264,2.351
743,6,10,20,0.6,18,25,1.132,1.176
744,6,10,20,0.6,16,100,4.987,5.190
745,6,10,20,0.6,16,75,3.721,3.900
746,6,10,20,0.6,16,50,2.493,2.595
747,6,10,20,0.6,16,25,1.247,1.297
748,6,10,20,0.6,14,100,5.538,5.791
749,6,10,20,0.6,14,75,4.169,4.341
750,6,10,20,0.6,14,50,2.769,2.896
751,6,10,20,0.6,14,25,1.384,1.448
752,6,10,10,1.0,18,100,4.880,5.114
753,6,10,10,1.0,18,75,3.661,3.835
754,6,10,10,1.0,18,50,2.440,2.557
755,6,10,10,1.0,18,25,1.220,1.278
756,6,10,10,1.0,16,100,5.467,5.677
757,6,10,10,1.0,16,75,4.068,4.265
758,6,10,10,1.0,16,50,2.733,2.838
759,6,10,10,1.0,16,25,1.367,1.419
760,6,10,10,1.0,14,100,6.171,6.403
761,6,10,10,1.0,14,75,4.622,4.811
762,6,10,10,1.0,14,50,3.061,3.201
763,6,10,10,1.0,14,25,1.531,1.601
764,6,10,10,0.8,18,100,4.880,5.114
765,6,10,10,0.8,18,75,3.686,3.835
766,6,10,10,0.8,18,50,2.440,2.557
767,6,10,10,0.8,18,25,1.220,1.278
768,6,10,10,0.8,16,100,5.467,5.677
769,6,10,10,0.8,16,75,4.097,4.265
770,6,10,10,0.8,16,50,2.733,2.838
771,6,10,10,0.8,16,25,1.367,1.419
772,6,10,10,0.8,14,100,6.122,6.397
773,6,10,10,0.8,14,75,4.626,4.811
774,6,10,10,0.8,14,50,3.086,3.199
775,6,10,10,0.8,14,25,1.531,1.599
776,6,10,10,0.6,18,100,4.915,5.114
777,6,10,10,0.6,18,75,3.656,3.835
778,6,10,10,0.6,18,50,2.458,2.557
779,6,10,10,0.6,18,25,1.229,1.278
780,6,10,10,0.6,16,100,5.428,5.677
781,6,10,10,0.6,16,75,4.094,4.265
782,6,10,10,0.6,16,50,2.714,2.838
783,6,10,10,0.6,16,25,1.357,1.419
784,6,10,10,0.6,14,100,6.122,6.397
785,6,10,10,0.6,14,75,4.626,4.811
786,6,10,10,0.6,14,50,3.081,3.199
787,6,10,10,0.6,14,25,1.531,1.599
788,6,10,0,1.0,18,100,5.345,5.570
789,6,10,0,1.0,18,75,4.024,4.195
790,6,10,0,1.0,18,50,2.672,2.785
791,6,10,0,1.0,18,25,1.336,1.393
792,6,10,0,1.0,16,100,5.996,6.271
793,6,10,0,1.0,16,75,4.514,4.703
794,6,10,0,1.0,16,50,3.018,3.135
795,6,10,0,1.0,16,25,1.509,1.568
796,6,10,0,1.0,14,100,6.889,7.180
797,6,10,0,1.0,14,75,5.175,5.373
798,6,10,0,1.0,14,50,3.445,3.590
799,6,10,0,1.0,14,25,1.721,1.795
800,6,10,0,0.8,18,100,5.353,5.570
801,6,10,0,0.8,18,75,4.026,4.195
802,6,10,0,0.8,18,50,2.677,2.785
803,6,10,0,0.8,18,25,1.338,1.393
804,6,10,0,0.8,16,100,6.036,6.271
805,6,10,0,0.8,16,75,4.531,4.703
806,6,10,0,0.8,16,50,3.018,3.135
807,6,10,0,0.8,16,25,1.510,1.568
808,6,10,0,0.8,14,100,6.853,7.180
809,6,10,0,0.8,14,75,5.175,5.373
810,6,10,0,0.8,14,50,3.426,3.590
811,6,10,0,0.8,14,25,1.713,1.795
812,6,10,0,0.6,18,100,5.335,5.570
813,6,10,0,0.6,18,75,3.995,4.195
814,6,10,0,0.6,18,50,2.667,2.785
815,6,10,0,0.6,18,25,1.334,1.393
816,6,10,0,0.6,16,100,5.992,6.271
817,6,10,0,0.6,16,75,4.514,4.703
818,6,10,0,0.6,16,50,3.017,3.135
819,6,10,0,0.6,16,25,1.498,1.568
820,6,10,0,0.6,14,100,6.908,7.180
821,6,10,0,0.6,14,75,5.140,5.373
822,6,10,0,0.6,14,50,3.454,3.590
823,6,10,0,0.6,14,25,1.727,1.795
824,6,8,20,1.0,18,100,4.549,4.812
825,6,8,20,1.0,18,75,3.448,3.607
826,6,8,20,1.0,18,50,2.274,2.406
827,6,8,20,1.0,18,25,1.137,1.203
828,6,8,20,1.0,16,100,5.038,5.306
829,6,8,20,1.0,16,75,3.778,3.977
830,6,8,20,1.0,16,50,2.519,2.653
831,6,8,20,1.0,16,25,1.259,1.326
832,6,8,20,1.0,14,100,5.623,5.920
833,6,8,20,1.0,14,75,4.235,4.440
834,6,8,20,1.0,14,50,2.811,2.960
835,6,8,20,1.0,14,25,1.406,1.480
836,6,8,20,0.8,18,100,4.622,4.812
837,6,8,20,0.8,18,75,3.448,3.607
838,6,8,20,0.8,18,50,2.311,2.406
839,6,8,20,0.8,18,25,1.156,1.203
840,6,8,20,0.8,16,100,5.074,5.306
841,6,8,20,0.8,16,75,3.805,3.977
842,6,8,20,0.8,16,50,2.537,2.653
843,6,8,20,0.8,16,25,1.268,1.326
844,6,8,20,0.8,14,100,5.623,5.920
845,6,8,20,0.8,14,75,4.235,4.440
846,6,8,20,0.8,14,50,2.811,2.960
847,6,8,20,0.8,14,25,1.406,1.480
848,6,8,20,0.6,18,100,4.622,4.812
849,6,8,20,0.6,18,75,3.460,3.607
850,6,8,20,0.6,18,50,2.296,2.406
851,6,8,20,0.6,18,25,1.156,1.203
852,6,8,20,0.6,16,100,5.038,5.306
853,6,8,20,0.6,16,75,3.778,3.977
854,6,8,20,0.6,16,50,2.519,2.653
855,6,8,20,0.6,16,25,1.259,1.326
856,6,8,20,0.6,14,100,5.623,5.920
857,6,8,20,0.6,14,75,4.235,4.440
858,6,8,20,0.6,14,50,2.811,2.960
859,6,8,20,0.6,14,25,1.406,1.480
860,6,8,10,1.0,18,100,4.993,5.215
861,6,8,10,1.0,18,75,3.743,3.911
862,6,8,10,1.0,18,50,2.496,2.609
863,6,8,10,1.0,18,25,1.248,1.305
864,6,8,10,1.0,16,100,5.515,5.798
865,6,8,10,1.0,16,75,4.173,4.353
866,6,8,10,1.0,16,50,2.757,2.899
867,6,8,10,1.0,16,25,1.379,1.450
868,6,8,10,1.0,14,100,6.266,6.548
869,6,8,10,1.0,14,75,4.712,4.912
870,6,8,10,1.0,14,50,3.130,3.276
871,6,8,10,1.0,14,25,1.565,1.638
872,6,8,10,0.8,18,100,4.993,5.215
873,6,8,10,0.8,18,75,3.718,3.911
874,6,8,10,0.8,18,50,2.496,2.607
875,6,8,10,0.8,18,25,1.248,1.305
876,6,8,10,0.8,16,100,5.515,5.798
877,6,8,10,0.8,16,75,4.173,4.353
878,6,8,10,0.8,16,50,2.757,2.899
879,6,8,10,0.8,16,25,1.379,1.450
880,6,8,10,0.8,14,100,6.261,6.548
881,6,8,10,0.8,14,75,4.687,4.912
882,6,8,10,0.8,14,50,3.130,3.274
883,6,8,10,0.8,14,25,1.565,1.638
884,6,8,10,0.6,18,100,5.001,5.218
885,6,8,10,0.6,18,75,3.742,3.911
886,6,8,10,0.6,18,50,2.500,2.607
887,6,8,10,0.6,18,25,1.250,1.305
888,6,8,10,0.6,16,100,5.515,5.814
889,6,8,10,0.6,16,75,4.173,4.353
890,6,8,10,0.6,16,50,2.757,2.907
891,6,8,10,0.6,16,25,1.379,1.453
892,6,8,10,0.6,14,100,6.266,6.552
893,6,8,10,0.6,14,75,4.654,4.912
894,6,8,10,0.6,14,50,3.133,3.276
895,6,8,10,0.6,14,25,1.566,1.638
896,6,8,0,1.0,18,100,5.464,5.700
897,6,8,0,1.0,18,75,4.095,4.275
898,6,8,0,1.0,18,50,2.732,2.850
899,6,8,0,1.0,18,25,1.366,1.425
900,6,8,0,1.0,16,100,6.145,6.392
901,6,8,0,1.0,16,75,4.563,4.812
902,6,8,0,1.0,16,50,3.072,3.196
903,6,8,0,1.0,16,25,1.536,1.598
904,6,8,0,1.0,14,100,7.020,7.316
905,6,8,0,1.0,14,75,5.265,5.495
906,6,8,0,1.0,14,50,3.510,3.658
907,6,8,0,1.0,14,25,1.755,1.829
908,6,8,0,0.8,18,100,5.455,5.700
909,6,8,0,0.8,18,75,4.092,4.275
910,6,8,0,0.8,18,50,2.727,2.852
911,6,8,0,0.8,18,25,1.364,1.426
912,6,8,0,0.8,16,100,6.145,6.392
913,6,8,0,0.8,16,75,4.563,4.812
914,6,8,0,0.8,16,50,3.072,3.196
915,6,8,0,0.8,16,25,1.536,1.598
916,6,8,0,0.8,14,100,7.020,7.316
917,6,8,0,0.8,14,75,5.265,5.495
918,6,8,0,0.8,14,50,3.510,3.658
919,6,8,0,0.8,14,25,1.755,1.829
920,6,8,0,0.6,18,100,5.460,5.700
921,6,8,0,0.6,18,75,4.092,4.275
922,6,8,0,0.6,18,50,2.730,2.852
923,6,8,0,0.6,18,25,1.365,1.425
924,6,8,0,0.6,16,100,6.145,6.392
925,6,8,0,0.6,16,75,4.563,4.812
926,6,8,0,0.6,16,50,3.072,3.196
927,6,8,0,0.6,16,25,1.536,1.598
928,6,8,0,0.6,14,100,7.020,7.336
929,6,8,0,0.6,14,75,5.265,5.495
930,6,8,0,0.6,14,50,3.510,3.668
931,6,8,0,0.6,14,25,1.755,1.834
932,6,6,20,1.0,18,100,4.658,4.916
933,6,6,20,1.0,18,75,3.499,3.678
934,6,6,20,1.0,18,50,2.329,2.458
935,6,6,20,1.0,18,25,1.165,1.229
936,6,6,20,1.0,16,100,5.165,5.437
937,6,6,20,1.0,16,75,3.859,4.081
938,6,6,20,1.0,16,50,2.582,2.718
939,6,6,20,1.0,16,25,1.291,1.359
940,6,6,20,1.0,14,100,5.801,6.065
941,6,6,20,1.0,14,75,4.351,4.546
942,6,6,20,1.0,14,50,2.900,3.032
943,6,6,20,1.0,14,25,1.450,1.516
944,6,6,20,0.8,18,100,4.658,4.916
945,6,6,20,0.8,18,75,3.537,3.678
946,6,6,20,0.8,18,50,2.329,2.458
947,6,6,20,0.8,18,25,1.165,1.229
948,6,6,20,0.8,16,100,5.165,5.437
949,6,6,20,0.8,16,75,3.859,4.081
950,6,6,20,0.8,16,50,2.582,2.718
951,6,6,20,0.8,16,25,1.291,1.359
952,6,6,20,0.8,14,100,5.801,6.065
953,6,6,20,0.8,14,75,4.351,4.546
954,6,6,20,0.8,14,50,2.900,3.032
955,6,6,20,0.8,14,25,1.450,1.516
956,6,6,20,0.6,18,100,4.658,4.916
957,6,6,20,0.6,18,75,3.532,3.678
958,6,6,20,0.6,18,50,2.329,2.458
959,6,6,20,0.6,18,25,1.165,1.229
960,6,6,20,0.6,16,100,5.165,5.437
961,6,6,20,0.6,16,75,3.909,4.081
962,6,6,20,0.6,16,50,2.582,2.718
963,6,6,20,0.6,16,25,1.291,1.359
964,6,6,20,0.6,14,100,5.805,6.065
965,6,6,20,0.6,14,75,4.337,4.546
966,6,6,20,0.6,14,50,2.902,3.032
967,6,6,20,0.6,14,25,1.451,1.516
968,6,6,10,1.0,18,100,5.116,5.333
969,6,6,10,1.0,18,75,3.830,4.007
970,6,6,10,1.0,18,50,2.558,2.666
971,6,6,10,1.0,18,25,1.279,1.333
972,6,6,10,1.0,16,100,5.640,5.949
973,6,6,10,1.0,16,75,4.268,4.464
974,6,6,10,1.0,16,50,2.820,2.975
975,6,6,10,1.0,16,25,1.410,1.487
976,6,6,10,1.0,14,100,6.410,6.703
977,6,6,10,1.0,14,75,4.832,5.035
978,6,6,10,1.0,14,50,3.205,3.351
979,6,6,10,1.0,14,25,1.603,1.676
980,6,6,10,0.8,18,100,5.108,5.333
981,6,6,10,0.8,18,75,3.842,4.007
982,6,6,10,0.8,18,50,2.554,2.666
983,6,6,10,0.8,18,25,1.277,1.333
984,6,6,10,0.8,16,100,5.640,5.949
985,6,6,10,0.8,16,75,4.268,4.464
986,6,6,10,0.8,16,50,2.820,2.975
987,6,6,10,0.8,16,25,1.410,1.487
988,6,6,10,0.8,14,100,6.431,6.703
989,6,6,10,0.8,14,75,4.808,5.035
990,6,6,10,0.8,14,50,3.216,3.351
991,6,6,10,0.8,14,25,1.608,1.676
992,6,6,10,0.6,18,100,5.108,5.333
993,6,6,10,0.6,18,75,3.842,4.007
994,6,6,10,0.6,18,50,2.554,2.666
995,6,6,10,0.6,18,25,1.277,1.333
996,6,6,10,0.6,16,100,5.685,5.949
997,6,6,10,0.6,16,75,4.261,4.464
998,6,6,10,0.6,16,50,2.843,2.975
999,6,6,10,0.6,16,25,1.421,1.487
1000,6,6,10,0.6,14,100,6.431,6.703
1001,6,6,10,0.6,14,75,4.808,5.035
1002,6,6,10,0.6,14,50,3.216,3.351
1003,6,6,10,0.6,14,25,1.608,1.676
1004,6,6,0,1.0,18,100,5.603,5.838
1005,6,6,0,1.0,18,75,4.193,4.379
1006,6,6,0,1.0,18,50,2.793,2.919
1007,6,6,0,1.0,18,25,1.396,1.460
1008,6,6,0,1.0,16,100,6.294,6.566
1009,6,6,0,1.0,16,75,4.673,4.916
1010,6,6,0,1.0,16,50,3.147,3.283
1011,6,6,0,1.0,16,25,1.574,1.641
1012,6,6,0,1.0,14,100,7.122,7.475
1013,6,6,0,1.0,14,75,5.377,5.631
1014,6,6,0,1.0,14,50,3.561,3.737
1015,6,6,0,1.0,14,25,1.781,1.869
1016,6,6,0,0.8,18,100,5.585,5.838
1017,6,6,0,0.8,18,75,4.189,4.379
1018,6,6,0,0.8,18,50,2.788,2.919
1019,6,6,0,0.8,18,25,1.393,1.460
1020,6,6,0,0.8,16,100,6.294,6.566
1021,6,6,0,0.8,16,75,4.673,4.916
1022,6,6,0,0.8,16,50,3.147,3.283
1023,6,6,0,0.8,16,25,1.574,1.641
1024,6,6,0,0.8,14,100,7.122,7.475
1025,6,6,0,0.8,14,75,5.381,5.631
1026,6,6,0,0.8,14,50,3.561,3.737
1027,6,6,0,0.8,14,25,1.781,1.869
1028,6,6,0,0.6,18,100,5.570,5.838
1029,6,6,0,0.6,18,75,4.186,4.379
1030,6,6,0,0.6,18,50,2.793,2.919
1031,6,6,0,0.6,18,25,1.401,1.460
1032,6,6,0,0.6,16,100,6.294,6.566
1033,6,6,0,0.6,16,75,4.673,4.916
1034,6,6,0,0.6,16,50,3.147,3.283
1035,6,6,0,0.6,16,25,1.574,1.641
1036,6,6,0,0.6,14,100,7.122,7.475
1037,6,6,0,0.6,14,75,5.381,5.631
1038,6,6,0,0.6,14,50,3.561,3.737
1039,6,6,0,0.6,14,25,1.781,1.869
1040,6,4,20,1.0,18,100,4.837,5.100
1041,6,4,20,1.0,18,75,3.654,3.817
1042,6,4,20,1.0,18,50,2.436,2.550
1043,6,4,20,1.0,18,25,1.209,1.275
1044,6,4,20,1.0,16,100,5.378,5.625
1045,6,4,20,1.0,16,75,4.031,4.211
1046,6,4,20,1.0,16,50,2.689,2.812
1047,6,4,20,1.0,16,25,1.344,1.406
1048,6,4,20,1.0,14,100,5.993,6.266
1049,6,4,20,1.0,14,75,4.516,4.725
1050,6,4,20,1.0,14,50,2.996,3.133
1051,6,4,20,1.0,14,25,1.498,1.566
1052,6,4,20,0.8,18,100,4.872,5.100
1053,6,4,20,0.8,18,75,3.651,3.817
1054,6,4,20,0.8,18,50,2.436,2.550
1055,6,4,20,0.8,18,25,1.209,1.275
1056,6,4,20,0.8,16,100,5.378,5.625
1057,6,4,20,0.8,16,75,4.031,4.214
1058,6,4,20,0.8,16,50,2.689,2.812
1059,6,4,20,0.8,16,25,1.344,1.406
1060,6,4,20,0.8,14,100,6.002,6.266
1061,6,4,20,0.8,14,75,4.502,4.725
1062,6,4,20,0.8,14,50,2.996,3.133
1063,6,4,20,0.8,14,25,1.498,1.566
1064,6,4,20,0.6,18,100,4.872,5.100
1065,6,4,20,0.6,18,75,3.648,3.817
1066,6,4,20,0.6,18,50,2.435,2.550
1067,6,4,20,0.6,18,25,1.217,1.275
1068,6,4,20,0.6,16,100,5.378,5.625
1069,6,4,20,0.6,16,75,4.031,4.211
1070,6,4,20,0.6,16,50,2.689,2.812
1071,6,4,20,0.6,16,25,1.344,1.406
1072,6,4,20,0.6,14,100,5.998,6.266
1073,6,4,20,0.6,14,75,4.494,4.695
1074,6,4,20,0.6,14,50,2.996,3.133
1075,6,4,20,0.6,14,25,1.498,1.566
1076,6,4,10,1.0,18,100,5.288,5.541
1077,6,4,10,1.0,18,75,3.962,4.153
1078,6,4,10,1.0,18,50,2.623,2.770
1079,6,4,10,1.0,18,25,1.321,1.385
1080,6,4,10,1.0,16,100,5.873,6.132
1081,6,4,10,1.0,16,75,4.416,4.619
1082,6,4,10,1.0,16,50,2.936,3.066
1083,6,4,10,1.0,16,25,1.468,1.533
1084,6,4,10,1.0,14,100,6.632,6.935
1085,6,4,10,1.0,14,75,4.983,5.201
1086,6,4,10,1.0,14,50,3.316,3.468
1087,6,4,10,1.0,14,25,1.658,1.734
1088,6,4,10,0.8,18,100,5.279,5.541
1089,6,4,10,0.8,18,75,3.962,4.153
1090,6,4,10,0.8,18,50,2.644,2.770
1091,6,4,10,0.8,18,25,1.311,1.385
1092,6,4,10,0.8,16,100,5.882,6.132
1093,6,4,10,0.8,16,75,4.416,4.619
1094,6,4,10,0.8,16,50,2.941,3.066
1095,6,4,10,0.8,16,25,1.470,1.533
1096,6,4,10,0.8,14,100,6.632,6.935
1097,6,4,10,0.8,14,75,4.975,5.201
1098,6,4,10,0.8,14,50,3.316,3.468
1099,6,4,10,0.8,14,25,1.658,1.734
1100,6,4,10,0.6,18,100,5.288,5.541
1101,6,4,10,0.6,18,75,3.962,4.153
1102,6,4,10,0.6,18,50,2.640,2.770
1103,6,4,10,0.6,18,25,1.311,1.385
1104,6,4,10,0.6,16,100,5.873,6.132
1105,6,4,10,0.6,16,75,4.416,4.619
1106,6,4,10,0.6,16,50,2.936,3.066
1107,6,4,10,0.6,16,25,1.469,1.533
1108,6,4,10,0.6,14,100,6.632,6.935
1109,6,4,10,0.6,14,75,4.975,5.201
1110,6,4,10,0.6,14,50,3.316,3.468
1111,6,4,10,0.6,14,25,1.658,1.734
1112,6,4,0,1.0,18,100,5.772,6.032
1113,6,4,0,1.0,18,75,4.334,4.526
1114,6,4,0,1.0,18,50,2.886,3.016
1115,6,4,0,1.0,18,25,1.443,1.508
1116,6,4,0,1.0,16,100,6.501,6.789
1117,6,4,0,1.0,16,75,4.837,5.100
1118,6,4,0,1.0,16,50,3.251,3.395
1119,6,4,0,1.0,16,25,1.625,1.697
1120,6,4,0,1.0,14,100,7.431,7.751
1121,6,4,0,1.0,14,75,5.566,5.832
1122,6,4,0,1.0,14,50,3.715,3.876
1123,6,4,0,1.0,14,25,1.858,1.938
1124,6,4,0,0.8,18,100,5.782,6.032
1125,6,4,0,0.8,18,75,4.334,4.520
1126,6,4,0,0.8,18,50,2.891,3.016
1127,6,4,0,0.8,18,25,1.445,1.508
1128,6,4,0,0.8,16,100,6.512,6.789
1129,6,4,0,0.8,16,75,4.837,5.100
1130,6,4,0,0.8,16,50,3.256,3.395
1131,6,4,0,0.8,16,25,1.628,1.697
1132,6,4,0,0.8,14,100,7.419,7.751
1133,6,4,0,0.8,14,75,5.575,5.832
1134,6,4,0,0.8,14,50,3.710,3.878
1135,6,4,0,0.8,14,25,1.855,1.938
1136,6,4,0,0.6,18,100,5.782,6.032
1137,6,4,0,0.6,18,75,4.334,4.520
1138,6,4,0,0.6,18,50,2.891,3.016
1139,6,4,0,0.6,18,25,1.445,1.508
1140,6,4,0,0.6,16,100,6.501,6.772
1141,6,4,0,0.6,16,75,4.868,5.100
1142,6,4,0,0.6,16,50,3.251,3.386
1143,6,4,0,0.6,16,25,1.625,1.693
1144,6,4,0,0.6,14,100,7.431,7.751
1145,6,4,0,0.6,14,75,5.575,5.832
1146,6,4,0,0.6,14,50,3.715,3.876
1147,6,4,0,0.6,14,25,1.858,1.938
1148,6,2,20,1.0,18,100,5.243,5.489
1149,6,2,20,1.0,18,75,3.926,4.116
1150,6,2,20,1.0,18,50,2.621,2.744
1151,6,2,20,1.0,18,25,1.311,1.372
1152,6,2,20,1.0,16,100,5.790,6.059
